Field ID,Description,Category,Unnamed: 3
23000,1gG antigen for Herpes Simplex virus-1,Infectious Disease Antigens,
23001,2mgG unique antigen for Herpes Simplex virus-2,Infectious Disease Antigens,
5111,3mm asymmetry angle (left),Refractometer 1,
5108,3mm asymmetry angle (right),Refractometer 1,
5112,3mm cylindrical power angle (left),Refractometer 1,
5115,3mm cylindrical power angle (right),Refractometer 1,
5292,3mm index of best keratometry results (left),Refractometer 1,
5237,3mm index of best keratometry results (right),Refractometer 1,
5104,3mm strong meridian angle (left),Refractometer 1,
5107,3mm strong meridian angle (right),Refractometer 1,
5103,3mm weak meridian angle (left),Refractometer 1,
5100,3mm weak meridian angle (right),Refractometer 1,
5110,6mm asymmetry angle (left),Refractometer 1,
5109,6mm asymmetry angle (right),Refractometer 1,
5113,6mm cylindrical power angle (left),Refractometer 1,
5114,6mm cylindrical power angle (right),Refractometer 1,
5306,6mm index of best keratometry results (left),Refractometer 1,
5251,6mm index of best keratometry results (right),Refractometer 1,
5105,6mm strong meridian angle (left),Refractometer 1,
5106,6mm strong meridian angle (right),Refractometer 1,
5102,6mm weak meridian angle (left),Refractometer 1,
5101,6mm weak meridian angle (right),Refractometer 1,
24612,AFib - Duration of the Longest Episode,Cardiac monitoring phase 2,#
24610,AFib - Maximum Heart Rate,Cardiac monitoring phase 2,#
24611,AFib - Minimum Heart Rate,Cardiac monitoring phase 2,#
24615,AFib - Total Duration,Cardiac monitoring phase 2,#
24614,AFib - Total Episode Count,Cardiac monitoring phase 2,#
24619,AFlut - Duration of the Longest Episode,Cardiac monitoring phase 2,#
24617,AFlut - Maximum Heart Rate,Cardiac monitoring phase 2,#
24618,AFlut - Minimum Heart Rate,Cardiac monitoring phase 2,#
24622,AFlut - Total Duration,Cardiac monitoring phase 2,#
24621,AFlut - Total Episode Count,Cardiac monitoring phase 2,#
24727,AV Block - Total Count,Cardiac monitoring phase 1,#
24640,AV Block 2 - Minimum Heart Rate,Cardiac monitoring phase 2,#
24639,AV Block 2 - Total Count,Cardiac monitoring phase 2,#
24644,AV Block 3 - Minimum Heart Rate,Cardiac monitoring phase 2,#
24643,AV Block 3 - Total Count,Cardiac monitoring phase 2,#
22150,Age COPD (Chronic Obstructive Pulmonary Disease) diagnosed by doctor,Medical information,
22152,Age alpha-1 antitrypsin deficiency diagnosed by doctor,Medical information,
3627,Age angina diagnosed,Medical conditions,
22159,Age asbestosis diagnosed by doctor,Medical information,
3786,Age asthma diagnosed,Medical conditions,
22147,Age asthma diagnosed by doctor,Medical information,
3882,Age at bilateral oophorectomy (both ovaries removed),Female-specific factors,
20433,Age at first episode of depression,Depression,
29034,Age at first episode of depression,Depression,
29053,Age at first episode of mania or irritability,Mood changes,
2754,Age at first live birth,Female-specific factors,
2824,Age at hysterectomy,Female-specific factors,
20434,Age at last episode of depression,Depression,
29036,Age at last episode of depression,Depression,
29054,Age at last episode of mania or irritability,Mood changes,
2764,Age at last live birth,Female-specific factors,
3581,Age at menopause (last menstrual period),Female-specific factors,
21022,Age at recruitment,Baseline characteristics,
22154,Age bronchiectasis diagnosed by doctor,Medical information,
4700,Age cataract diagnosed,Eyesight,
22149,Age chronic bronchitis diagnosed by doctor,Medical information,
845,Age completed full time education,Education,
22151,Age cystic fibrosis diagnosed by doctor,Medical information,
4012,"Age deep-vein thrombosis (DVT, blood clot in leg) diagnosed",Medical conditions,
2976,Age diabetes diagnosed,Medical conditions,
22148,Age emphysema diagnosed by doctor,Medical information,
3992,Age emphysema/chronic bronchitis diagnosed,Medical conditions,
22156,Age fibrosing alveolitis/unspecified alveolitis diagnosed by doctor,Medical information,
2139,Age first had sexual intercourse,Sexual factors,
4689,Age glaucoma diagnosed,Eyesight,
3761,"Age hay fever, rhinitis or eczema diagnosed",Medical conditions,
22146,Age hayfever or allergic rhinitis diagnosed by doctor,Medical information,
3894,Age heart attack diagnosed,Medical conditions,
2966,Age high blood pressure diagnosed,Medical conditions,
22155,Age idiopathic pulmonary fibrosis diagnosed by doctor,Medical information,
3546,Age last used hormone-replacement therapy (HRT),Female-specific factors,
22160,Age lung cancer (not mesothelioma) diagnosed by doctor,Medical information,
5923,Age macular degeneration diagnosed,Eyesight,
22161,Age mesothelioma of the lung diagnosed by doctor,Medical information,
29072,Age of first panic attack,Anxiety and panic,
29073,Age of last panic attack,Anxiety and panic,
3872,Age of primiparous women at birth of child,Female-specific factors,
22507,Age of stopping smoking,Medical information,
5945,Age other serious eye condition diagnosed,Eyesight,
4022,Age pulmonary embolism (blood clot in lung) diagnosed,Medical conditions,
22153,Age sarcoidosis diagnosed by doctor,Medical information,
22158,Age silicosis diagnosed by doctor,Medical information,
3536,Age started hormone-replacement therapy (HRT),Female-specific factors,
2794,Age started oral contraceptive pill,Female-specific factors,
3436,Age started smoking in current smokers,Smoking,
2867,Age started smoking in former smokers,Smoking,
2217,Age started wearing glasses or contact lenses,Eyesight,
2897,Age stopped smoking,Smoking,
6194,Age stopped smoking cigarettes (current cigar/pipe or previous cigarette smoker),Smoking,
4056,Age stroke diagnosed,Medical conditions,
22157,Age tuberculosis diagnosed by doctor,Medical information,
21003,Age when attended assessment centre,Reception,
5901,Age when diabetes-related eye disease diagnosed,Eyesight,
29126,Age when first at this low weight,Eating patterns,
29118,Age when first attempted suicide,Harm behaviours,
29147,Age when first engaged in these behaviours for at least three months,Eating patterns,
29138,Age when first experienced overeating/binge eating regularly,Eating patterns,
20461,Age when first had unusual or psychotic experience,Unusual and psychotic experiences,
29112,Age when first self harmed,Harm behaviours,
29105,Age when first took cannabis,Cannabis use,
29102,Age when known person first commented about drinking habits,Alcohol use,
20410,Age when known person last commented about drinking habits,Alcohol use,
29103,Age when known person last commented about drinking habits,Alcohol use,
29127,Age when last at this low weight,Eating patterns,
3680,Age when last ate meat,Diet,
29119,Age when last attempted suicide,Harm behaviours,
29148,Age when last engaged in these behaviours for at least three months,Eating patterns,
29139,Age when last experienced overeating/binge eating regularly,Eating patterns,
29113,Age when last self harmed,Harm behaviours,
20455,Age when last took cannabis,Cannabis use,
29106,Age when last took cannabis,Cannabis use,
2804,Age when last used oral contraceptive pill,Female-specific factors,
5430,Age when loss of vision due to injury or trauma diagnosed,Eyesight,
2714,Age when periods started (menarche),Female-specific factors,
120022,All over body pain in last three months and rating of pain,Experience of pain,
22508,Amount of tobacco currently smoked,Medical information,
23244,Android bone mass,Body composition by DXA,
21110,Android fat free mass,Body composition by DXA,
23245,Android fat mass,Body composition by DXA,
23246,Android lean mass,Body composition by DXA,
21111,Android tissue mass,Body composition by DXA,
21112,Arm bone mass (left),Body composition by DXA,
21116,Arm bone mass (right),Body composition by DXA,
21113,Arm fat free mass (left),Body composition by DXA,
21117,Arm fat free mass (right),Body composition by DXA,
23249,Arm fat mass (left),Body composition by DXA,
23253,Arm fat mass (right),Body composition by DXA,
23250,Arm lean mass (left),Body composition by DXA,
23254,Arm lean mass (right),Body composition by DXA,
120030,Arm pain in last three months and rating of pain,Experience of pain,
21114,Arm tissue mass (left),Body composition by DXA,
21118,Arm tissue mass (right),Body composition by DXA,
21119,Arms bone mass,Body composition by DXA,
21120,Arms fat free mass,Body composition by DXA,
23257,Arms fat mass,Body composition by DXA,
23258,Arms lean mass,Body composition by DXA,
21121,Arms tissue mass,Body composition by DXA,
5089,Astigmatism angle (left),Refractometer 1,
5088,Astigmatism angle (right),Refractometer 1,
22426,Average heart rate,Left ventricular size and function,
4429,Average monthly beer plus cider intake,Alcohol,
4418,Average monthly champagne plus white wine intake,Alcohol,
4451,Average monthly fortified wine intake,Alcohol,
4462,Average monthly intake of other alcoholic drinks,Alcohol,
4407,Average monthly red wine intake,Alcohol,
4440,Average monthly spirits intake,Alcohol,
21044,Average number of times bowels opened per day,Digestive health,
120015,Average pain from gout in the past 24 hours while resting,Experience of pain,
1588,Average weekly beer plus cider intake,Alcohol,
1578,Average weekly champagne plus white wine intake,Alcohol,
1608,Average weekly fortified wine intake,Alcohol,
5364,Average weekly intake of other alcoholic drinks,Alcohol,
1568,Average weekly red wine intake,Alcohol,
1598,Average weekly spirits intake,Alcohol,
23026,BK VP1 antigen for Human Polyomavirus BKV,Infectious Disease Antigens,
41284,Baby birth weight,Summary Maternity,
120026,Back pain in last three months and rating of pain,Experience of pain,
40012,Behaviour of cancer tumour,Cancer register,
24730,Bigeminy - Total Duration,Cardiac monitoring phase 1,#
21634,Biometrics duration,Process durations,
2744,Birth weight of first child,Female-specific factors,
21662,Brain MRI duration,Process durations,
1438,Bread intake,Diet,
21104,Ca concentration,Water minerals,
21103,CaCO3 concentration,Water minerals,
23039,CagA antigen for Helicobacter pylori,Infectious Disease Antigens,
24602,Calculated Duration,Cardiac monitoring phase 2,#
90171,Calibration - number of static points,Accelerometer calibration,
84,Cancer year/age first occurred,Medical conditions,
21671,Cardiac monitor duration,Process durations,
21665,Carotid ultrasound duration,Process durations,
20121,Cascot confidence score,Employment,
41000,Case-control status for COVID19 imaging repeat,Coronavirus COVID-19,
23043,Catalase antigen for Helicobacter pylori,Infectious Disease Antigens,
12678,Central pulse pressure during PWA,Pulse wave analysis,
12677,Central systolic blood pressure during PWA,Pulse wave analysis,
1458,Cereal intake,Diet,
21663,Chest MRI duration,Process durations,
120035,Chest pain in last three months and rating of pain,Experience of pain,
1737,Childhood sunburn occasions,Sun exposure,
1498,Coffee intake,Diet,
21651,Conclusion duration,Process durations,
22644,Consecutive night shifts during mixed shift periods,Employment history,
22654,Consecutive night shifts during night shift periods,Employment history,
21621,Consent duration,Process durations,
7526,Contact lens cylinder axis (left),Refractometer 2,
7504,Contact lens cylinder axis (right),Refractometer 2,
1289,Cooked vegetable intake,Diet,
23018,Core antigen for Hepatitis C Virus,Infectious Disease Antigens,
7385,Cylinder axis (left),Refractometer 2,
7386,Cylinder axis (right),Refractometer 2,
21664,DXA assessment duration,Process durations,
21139,DXA measurement QC Flag,DXA assessment,
90182,Data recording errors,Raw accelerometer statistics,
120057,Days per month having headaches when they were at their worst,Experience of pain,
20083,Delay between questionnaire request and completion,Diet questionnaire performance,
41215,Detention categories (polymorphic),Summary Psychiatric,
90179,Device ID,Raw accelerometer statistics,
4079,"Diastolic blood pressure, automated reading",Blood pressure,
94,"Diastolic blood pressure, manual reading",Blood pressure,
12698,Diastolic brachial blood pressure,Pulse wave analysis,
12675,Diastolic brachial blood pressure during PWA,Pulse wave analysis,
796,Distance between home and job workplace,Employment,
1319,Dried fruit intake,Diet,
7673,Duration between presenting an image and participant making selection,Broken letter recognition,
7674,Duration between presenting an image and participant pressing Next button,Broken letter recognition,
41275,Duration of antenatal stay,Summary Maternity,
12651,Duration of eprime test,Task functional brain MRI,
6039,Duration of fitness test,ECG during exercise,
894,Duration of moderate activity,Physical activity,
41285,Duration of postnatal stay,Summary Maternity,
20082,Duration of questionnaire,Diet questionnaire performance,
20751,Duration of questionnaire,Food (and other) preferences,
6317,Duration of selection in each round,Picture vocabulary,
914,Duration of vigorous activity,Physical activity,
874,Duration of walks,Physical activity,
4290,Duration screen displayed,Prospective memory,
6333,Duration spent answering each puzzle,Matrix pattern completion,
20763,Duration spent answering each puzzle,Matrix pattern completion,
6350,Duration to complete alphanumeric path (trail #2),Trail making,
6348,Duration to complete numeric path (trail #1),Trail making,
6313,Duration to entering selection,Tower rearranging,
6325,Duration to entering symbol choice,Symbol digit substitution,
20230,Duration to entering symbol choice,Symbol digit substitution,
404,Duration to first press of snap-button in each round,Reaction time,
10147,Duration to first press of snap-button in each round (pilot),Reaction time,
23030,E6 antigen for Human Papillomavirus type-16,Infectious Disease Antigens,
23031,E7 antigen for Human Papillomavirus type-16,Infectious Disease Antigens,
23006,EA-D antigen for Epstein-Barr Virus,Infectious Disease Antigens,
23004,EBNA-1 antigen for Epstein-Barr Virus,Infectious Disease Antigens,
21666,ECG at rest duration,Process durations,
21638,ECG during exercise duration,Process durations,
5983,"ECG, heart rate",ECG during exercise,
5984,"ECG, load",ECG during exercise,
5993,"ECG, number of stages in a phase",ECG during exercise,
5992,"ECG, phase duration",ECG during exercise,
5986,"ECG, phase time",ECG during exercise,
5990,"ECG, stage duration",ECG during exercise,
120121,Easily fatigued,Experience of pain,
6771,Errors before selecting correct item in alphanumeric path (trail #2),Trail making,
20148,Errors before selecting correct item in alphanumeric path (trail #2),Trail making,
6770,Errors before selecting correct item in numeric path (trail #1),Trail making,
20147,Errors before selecting correct item in numeric path (trail #1),Trail making,
120120,Exercise brings on fatigue,Experience of pain,
1269,Exposure to tobacco smoke at home,Smoking,
1279,Exposure to tobacco smoke outside home,Smoking,
21636,Eye measures duration,Process durations,
20194,FI14 : duration viewed,Fluid intelligence / reasoning,
120024,Face pain in last three months and rating of pain,Experience of pain,
74,Fasting time,Blood sample collection,
2946,Father's age,Family history,
1807,Father's age at death,Family history,
146,Father's day of birth,Early life factors,#
120123,Fatigue causes frequent problems,Experience of pain,
120125,Fatigue interferes with carrying out certain duties and responsibilities,Experience of pain,
120122,Fatigue interferes with physical functioning,Experience of pain,
120127,"Fatigue interferes with work, family or social life",Experience of pain,
120126,Fatigue is among three most disabling symptoms,Experience of pain,
120124,Fatigue prevents sustained physical functioning,Experience of pain,
120033,Feet pain in last three months and rating of pain,Experience of pain,
20016,Fluid intelligence score,Fluid intelligence / reasoning,
20191,Fluid intelligence score,Fluid intelligence / reasoning,
2277,Frequency of solarium/sunlamp use,Sun exposure,
777,Frequency of travelling from home to job workplace,Employment,
1309,Fresh fruit intake,Diet,
22011,Genetic relatedness pairing,Interim genotype release,
41269,Gestation period at first antenatal assessment,Summary Maternity,
20317,Grading of a superior femoral osteophyte,"Bone size, mineral and density by DXA",
20316,Grading of an acetabular osteophyte,"Bone size, mineral and density by DXA",
20318,Grading of an inferior femoral osteophyte,"Bone size, mineral and density by DXA",
20315,Grading of any osteophyte at any site,"Bone size, mineral and density by DXA",
20319,Grading of osteophytes at all three site,"Bone size, mineral and density by DXA",
21042,Greatest number of times bowels opened per day,Digestive health,
23042,GroEL antigen for Helicobacter pylori,Infectious Disease Antigens,
23261,Gynoid bone mass,Body composition by DXA,
21123,Gynoid fat free mass,Body composition by DXA,
23262,Gynoid fat mass,Body composition by DXA,
23263,Gynoid lean mass,Body composition by DXA,
21124,Gynoid tissue mass,Body composition by DXA,
23016,HBc antigen for Hepatitis B Virus,Infectious Disease Antigens,
23017,HBe antigen for Hepatitis B Virus,Infectious Disease Antigens,
23025,HIV-1 env antigen for Human Immunodeficiency Virus,Infectious Disease Antigens,
23024,HIV-1 gag antigen for Human Immunodeficiency Virus,Infectious Disease Antigens,
23023,HTLV-1 env antigen for Human T-Lymphotropic Virus 1,Infectious Disease Antigens,
23022,HTLV-1 gag antigen for Human T-Lymphotropic Virus 1,Infectious Disease Antigens,
46,Hand grip strength (left),Hand grip strength,
47,Hand grip strength (right),Hand grip strength,
120031,Hand pain in last three months and rating of pain,Experience of pain,
120023,Head pain in last three months and rating of pain,Experience of pain,
24608,Heart Rate - Average,Cardiac monitoring phase 2,#
24606,Heart Rate - Maximum,Cardiac monitoring phase 2,#
24607,Heart Rate - Minimum,Cardiac monitoring phase 2,#
24706,Heart rate - Average,Cardiac monitoring phase 1,#
24704,Heart rate - Maximum,Cardiac monitoring phase 1,#
24705,Heart rate - Minimum,Cardiac monitoring phase 1,#
12673,Heart rate during PWA,Pulse wave analysis,
12144,Height,Body size measures,
120028,Hip pain in last three months and rating of pain,Experience of pain,
40011,Histology of cancer tumour,Cancer register,
41218,History of psychiatric care on admission (polymorphic),Summary Psychiatric,
22701,Home location - east co-ordinate (100m resolution),Home locations,#
22702,Home location - east co-ordinate (1km resolution),Home locations,#
22703,Home location - north co-ordinate (100m resolution),Home locations,#
22704,Home location - north co-ordinate (1km resolution),Home locations,#
22686,Home location at assessment - east co-ordinate (100m resolution),Reception,#
22688,Home location at assessment - east co-ordinate (1km resolution),Reception,#
22687,Home location at assessment - north co-ordinate (100m resolution),Reception,#
22689,Home location at assessment - north co-ordinate (1km resolution),Reception,#
28177,"Home location, east co-ordinate (100m resolution), wave 7",Coronavirus serology study wave 7,#
28175,"Home location, east co-ordinate (1km resolution), wave 7",Coronavirus serology study wave 7,#
28172,"Home location, east coordinate (100m resolution), wave 1",Coronavirus serology study waves 1-6,#
28170,"Home location, east coordinate (1km resolution), wave 1",Coronavirus serology study waves 1-6,#
28178,"Home location, north co-ordinate (100m resolution), wave 7",Coronavirus serology study wave 7,#
28176,"Home location, north co-ordinate (1km resolution), wave 7",Coronavirus serology study wave 7,#
28173,"Home location, north coordinate (100m resolution), wave 1",Coronavirus serology study waves 1-6,#
28171,"Home location, north coordinate (1km resolution), wave 1",Coronavirus serology study waves 1-6,#
30472,Hours of actual sleep per night in 2019,Quality of sleep,
30445,How many hours of actual sleep each night during the past month,Quality of sleep,
30482,How many hours spent outdoors in summer,Lifestyle routines,
30483,How many hours spent outdoors in winter,Lifestyle routines,
23010,IE1A antigen for Human Herpesvirus-6,Infectious Disease Antigens,
23011,IE1B antigen for Human Herpesvirus-6,Infectious Disease Antigens,
24636,IVR - Longest Episode Duration,Cardiac monitoring phase 2,#
24635,IVR - Total Episode Count,Cardiac monitoring phase 2,#
21661,Imaging screening duration,Process durations,
20313,Index mJSW,"Bone size, mineral and density by DXA",
5276,Index of best refractometry result (left),Refractometer 1,
5221,Index of best refractometry result (right),Refractometer 1,
90180,Interrupted recording periods,Raw accelerometer statistics,
6773,Interval between previous point and current one in alphanumeric path (trail #2),Trail making,
20155,Interval between previous point and current one in alphanumeric path (trail #2),Trail making,
6772,Interval between previous point and current one in numeric path (trail #1),Trail making,
20149,Interval between previous point and current one in numeric path (trail #1),Trail making,
24649,Isolated SVE - Total Count,Cardiac monitoring phase 2,#
24732,Isolated SVE - Total Count,Cardiac monitoring phase 1,#
24647,Isolated VE - Total Count,Cardiac monitoring phase 2,#
24738,Isolated VE - Total Count,Cardiac monitoring phase 1,#
23027,JC VP1 antigen for Human Polyomavirus JCV,Infectious Disease Antigens,
23015,K8.1 antigen for Kaposi's Sarcoma-Associated Herpesvirus,Infectious Disease Antigens,
7410,Keratometry R1 cylinder axis (left),Refractometer 2,
7407,Keratometry R1 cylinder axis (right),Refractometer 2,
7409,Keratometry R2 cylinder axis (left),Refractometer 2,
7408,Keratometry R2 cylinder axis (right),Refractometer 2,
7405,Keratometry cylinder axis (left),Refractometer 2,
7406,Keratometry cylinder axis (right),Refractometer 2,
7531,Keratometry median R1 cylinder axis (left),Refractometer 2,
7509,Keratometry median R1 cylinder axis (right),Refractometer 2,
7534,Keratometry median R2 cylinder axis (left),Refractometer 2,
